o_grid,d_grid,status,message,price,步骤1_方式,步骤1_距离,步骤1_时间,步骤2_方式,步骤2_距离,步骤2_时间,步骤3_方式,步骤3_距离,步骤3_时间,步骤4_方式,步骤4_距离,步骤4_时间,步骤5_方式,步骤5_距离,步骤5_时间,步骤6_方式,步骤6_距离,步骤6_时间,步骤7_方式,步骤7_距离,步骤7_时间,步骤8_方式,步骤8_距离,步骤8_时间,步骤9_方式,步骤9_距离,步骤9_时间,步骤10_方式,步骤10_距离,步骤10_时间
ww0y4g0,ww0vem2,success,成功,3,步行,285,239,地铁,7993,900,站内换乘,342,284,地铁,1915,240,步行,277,232,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g0,ww0vemn,success,成功,3,步行,285,239,地铁,7993,900,站内换乘,342,284,地铁,2681,360,步行,629,534,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g0,ww0vfwh,success,成功,2,步行,285,239,地铁,2621,300,步行,882,747,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g0,ww0vfwp,success,成功,2,步行,285,239,地铁,2621,300,步行,449,377,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g0,ww0vfwq,success,成功,2,步行,285,239,地铁,2621,300,步行,549,462,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0v6h8,success,成功,4,步行,374,316,地铁,2351,240,站内换乘,13,10,地铁,15879,1800,步行,929,789,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vdgy,success,成功,3,步行,543,457,地铁,9030,1020,步行,1003,854,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vetj,success,成功,3,步行,374,316,地铁,14660,1740,步行,815,690,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vfg2,success,成功,2,步行,543,457,地铁,5039,600,步行,552,468,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vfsv,success,成功,2,步行,543,457,地铁,3394,420,步行,727,614,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vfw7,success,成功,2,步行,543,457,地铁,2621,300,步行,914,775,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vfw9,success,成功,2,步行,374,316,地铁,2351,240,站内换乘,13,10,地铁,2901,300,步行,939,801,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vfwd,success,成功,2,步行,543,457,地铁,2621,300,步行,949,807,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
ww0y4g1,ww0vfwe,success,成功,2,步行,543,457,地铁,2621,300,步行,829,704,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0
